source,target,relation
novel_67,Gh_D05G220400,mi2mRNA
novel_67,Gh_A11G003500,mi2mRNA
novel_67,Gh_A05G203700,mi2mRNA
novel_67,Gh_A13G223400,mi2mRNA
novel_67,Gh_A12G227300,mi2mRNA
novel_67,Gh_A09G226900,mi2mRNA
novel_67,Gh_A05G071200,mi2mRNA
novel_67,Gh_A11G031500,mi2mRNA
novel_67,Gh_A05G286000,mi2mRNA
novel_67,Gh_D06G008300,mi2mRNA
novel_67,Gh_A12G221600,mi2mRNA
novel_67,Gh_A06G128700,mi2mRNA
novel_67,Gh_A01G224100,mi2mRNA
novel_67,Gh_D01G219900,mi2mRNA
novel_67,Gh_A06G104300,mi2mRNA
novel_67,Gh_A03G091900,mi2mRNA
novel_67,Gh_A11G369000,mi2mRNA
novel_67,Gh_D05G297500,mi2mRNA
novel_67,Gh_A05G285200,mi2mRNA
novel_67,Gh_D05G084100,mi2mRNA
novel_67,Gh_D09G131800,mi2mRNA
novel_67,Gh_A06G010100,mi2mRNA
novel_67,Gh_D05G045300,mi2mRNA
novel_67,Gh_A06G043100,mi2mRNA
novel_67,Gh_A05G294000,mi2mRNA
novel_67,Gh_D03G095100,mi2mRNA
novel_67,Gh_A12G132200,mi2mRNA
novel_67,Gh_D01G034100,mi2mRNA
novel_67,Gh_A01G036700,mi2mRNA
novel_67,Gh_D08G027900,mi2mRNA
novel_67,Gh_A08G009200,mi2mRNA
novel_67,Gh_D05G326900,mi2mRNA
novel_67,Gh_A05G324200,mi2mRNA
novel_67,Gh_D05G053000,mi2mRNA
novel_67,Gh_A05G039400,mi2mRNA
novel_67,Gh_A06G063200,mi2mRNA
novel_67,Gh_D06G062000,mi2mRNA
novel_67,Gh_A09G083600,mi2mRNA
novel_67,Gh_D02G065000,mi2mRNA
novel_67,Gh_A02G060400,mi2mRNA
novel_67,Gh_A01G026200,mi2mRNA
novel_67,Gh_D07G121500,mi2mRNA
novel_67,Gh_A05G157900,mi2mRNA
novel_67,Gh_D02G134900,mi2mRNA
novel_67,Gh_A03G108600,mi2mRNA
novel_67,Gh_A11G005500,mi2mRNA
novel_67,Gh_A05G397900,mi2mRNA
novel_67,Gh_Contig00775G000700,mi2mRNA
novel_67,Gh_Contig00776G000500,mi2mRNA
novel_67,Gh_D04G025400,mi2mRNA
novel_67,Gh_D03G197100,mi2mRNA
