ID,type,label,size
Ghi-miR156m,miRNA,Ghi-miR156m,35
Ghi-miR162a,miRNA,Ghi-miR162a,35
Ghi-miR167l,miRNA,Ghi-miR167l,35
Ghi-miR2111b,miRNA,Ghi-miR2111b,35
Ghi-miR395a,miRNA,Ghi-miR395a,35
Ghi-miR397a,miRNA,Ghi-miR397a,35
Ghi-miR477e,miRNA,Ghi-miR477e,35
Ghi-miR530e,miRNA,Ghi-miR530e,35
Ghi-miR535a,miRNA,Ghi-miR535a,35
Ghi-miR7484l,miRNA,Ghi-miR7484l,35
Ghi-miR7484o,miRNA,Ghi-miR7484o,35
Ghi-miR7502a,miRNA,Ghi-miR7502a,35
Ghi-miR7505a,miRNA,Ghi-miR7505a,35
Ghi-miR8646,miRNA,Ghi-miR8646,35
Ghi-miR8677,miRNA,Ghi-miR8677,35
Ghi-miR8695a,miRNA,Ghi-miR8695a,35
Ghi-miR8746,miRNA,Ghi-miR8746,35
Ghi-miRN1383a,miRNA,Ghi-miRN1383a,35
Ghi-miRN1385a,miRNA,Ghi-miRN1385a,35
Ghi-miRN1398,miRNA,Ghi-miRN1398,35
Ghi-miRN1409a,miRNA,Ghi-miRN1409a,35
Ghi-miRN1413,miRNA,Ghi-miRN1413,35
Ghi-miRN1419a,miRNA,Ghi-miRN1419a,35
Ghi-miRN1420,miRNA,Ghi-miRN1420,35
Ghi-miRN1424,miRNA,Ghi-miRN1424,35
Ghi-miRN1425,miRNA,Ghi-miRN1425,35
Ghi-miRN1427a,miRNA,Ghi-miRN1427a,35
Ghi-miRN1429a,miRNA,Ghi-miRN1429a,35
Ghi-miRN1431,miRNA,Ghi-miRN1431,35
Ghi-miRN1440,miRNA,Ghi-miRN1440,35
Ghi-miRN1449b,miRNA,Ghi-miRN1449b,35
Ghi-miRN1450a,miRNA,Ghi-miRN1450a,35
Ghi-miRN1461,miRNA,Ghi-miRN1461,35
Ghi-miRN1470,miRNA,Ghi-miRN1470,35
Ghi-miRN1475,miRNA,Ghi-miRN1475,35
Ghi-miRN1482,miRNA,Ghi-miRN1482,35
Ghi-miRN1488,miRNA,Ghi-miRN1488,35
Ghi-miRN1493,miRNA,Ghi-miRN1493,35
Ghi-miRN1494,miRNA,Ghi-miRN1494,35
Ghi-miRN1495,miRNA,Ghi-miRN1495,35
novel_1,miRNA,novel_1,35
novel_134,miRNA,novel_134,35
novel_199,miRNA,novel_199,35
novel_220,miRNA,novel_220,35
novel_226,miRNA,novel_226,35
novel_291,miRNA,novel_291,35
novel_39,miRNA,novel_39,35
novel_4,miRNA,novel_4,35
novel_5,miRNA,novel_5,35
novel_67,miRNA,novel_67,35
novel_89,miRNA,novel_89,35
novel_95,miRNA,novel_95,35
novel_circ_0001898,circRNA,novel_circ_0001898,30
novel_circ_0002796,circRNA,novel_circ_0002796,30
novel_circ_0000176,circRNA,novel_circ_0000176,30
novel_circ_0001367,circRNA,novel_circ_0001367,30
novel_circ_0002363,circRNA,novel_circ_0002363,30
novel_circ_0003100,circRNA,novel_circ_0003100,30
novel_circ_0001551,circRNA,novel_circ_0001551,30
novel_circ_0002987,circRNA,novel_circ_0002987,30
novel_circ_0001688,circRNA,novel_circ_0001688,30
novel_circ_0003490,circRNA,novel_circ_0003490,30
novel_circ_0001274,circRNA,novel_circ_0001274,30
novel_circ_0002676,circRNA,novel_circ_0002676,30
novel_circ_0001752,circRNA,novel_circ_0001752,30
novel_circ_0001753,circRNA,novel_circ_0001753,30
novel_circ_0001754,circRNA,novel_circ_0001754,30
novel_circ_0001756,circRNA,novel_circ_0001756,30
novel_circ_0001758,circRNA,novel_circ_0001758,30
novel_circ_0001195,circRNA,novel_circ_0001195,30
novel_circ_0001734,circRNA,novel_circ_0001734,30
novel_circ_0003042,circRNA,novel_circ_0003042,30
novel_circ_0000134,circRNA,novel_circ_0000134,30
novel_circ_0002160,circRNA,novel_circ_0002160,30
novel_circ_0002838,circRNA,novel_circ_0002838,30
novel_circ_0000800,circRNA,novel_circ_0000800,30
novel_circ_0003226,circRNA,novel_circ_0003226,30
novel_circ_0002055,circRNA,novel_circ_0002055,30
novel_circ_0000118,circRNA,novel_circ_0000118,30
novel_circ_0000945,circRNA,novel_circ_0000945,30
novel_circ_0001342,circRNA,novel_circ_0001342,30
novel_circ_0002139,circRNA,novel_circ_0002139,30
novel_circ_0001606,circRNA,novel_circ_0001606,30
novel_circ_0001504,circRNA,novel_circ_0001504,30
novel_circ_0000849,circRNA,novel_circ_0000849,30
novel_circ_0001194,circRNA,novel_circ_0001194,30
novel_circ_0002799,circRNA,novel_circ_0002799,30
novel_circ_0001816,circRNA,novel_circ_0001816,30
novel_circ_0001817,circRNA,novel_circ_0001817,30
novel_circ_0001822,circRNA,novel_circ_0001822,30
novel_circ_0001823,circRNA,novel_circ_0001823,30
novel_circ_0002993,circRNA,novel_circ_0002993,30
novel_circ_0003415,circRNA,novel_circ_0003415,30
novel_circ_0002452,circRNA,novel_circ_0002452,30
novel_circ_0000551,circRNA,novel_circ_0000551,30
novel_circ_0003030,circRNA,novel_circ_0003030,30
novel_circ_0002380,circRNA,novel_circ_0002380,30
novel_circ_0000307,circRNA,novel_circ_0000307,30
novel_circ_0002651,circRNA,novel_circ_0002651,30
novel_circ_0000657,circRNA,novel_circ_0000657,30
