id,type,label
novel_circ_0001067,novel_circ_0001067,novel_circ_0001067
novel_circ_0001758,novel_circ_0001758,novel_circ_0001758
Ghi-miRN1482,novel_circ_0001067,Ghi-miRN1482
Ghi-miR7484o,novel_circ_0001758,Ghi-miR7484o
AAP2,mRNA,AAP2
ABCB15,mRNA,ABCB15
ABCC12,mRNA,ABCC12
ABCF1,mRNA,ABCF1
ABCI13,mRNA,ABCI13
AP2,mRNA,AP2
APL1,mRNA,APL1
ARC6,mRNA,ARC6
ARFA1E,mRNA,ARFA1E
ASD1,mRNA,ASD1
AT1G17500,mRNA,AT1G17500
AT1G25500,mRNA,AT1G25500
AT1G36280,mRNA,AT1G36280
AT1G51340,mRNA,AT1G51340
AT1G58060,mRNA,AT1G58060
AT1G63660,mRNA,AT1G63660
AT1G68570,mRNA,AT1G68570
AT1G68710,mRNA,AT1G68710
AT1G73460,mRNA,AT1G73460
AT1G76570,mRNA,AT1G76570
AT1G78060,mRNA,AT1G78060
AT2G01600,mRNA,AT2G01600
AT2G23840,mRNA,AT2G23840
AT2G27460,mRNA,AT2G27460
AT2G43850,mRNA,AT2G43850
AT2G44530,mRNA,AT2G44530
AT2G45180,mRNA,AT2G45180
AT3G03920,mRNA,AT3G03920
AT3G07890,mRNA,AT3G07890
AT3G14205,mRNA,AT3G14205
AT3G24180,mRNA,AT3G24180
AT3G43220,mRNA,AT3G43220
AT3G45310,mRNA,AT3G45310
AT3G56760,mRNA,AT3G56760
AT3G60800,mRNA,AT3G60800
AT4G13590,mRNA,AT4G13590
AT4G17390,mRNA,AT4G17390
AT4G26550,mRNA,AT4G26550
AT4G27640,mRNA,AT4G27640
AT4G28940,mRNA,AT4G28940
AT4G32360,mRNA,AT4G32360
AT4G32640,mRNA,AT4G32640
AT5G22780,mRNA,AT5G22780
AT5G36230,mRNA,AT5G36230
AT5G39990,mRNA,AT5G39990
AT5G43710,mRNA,AT5G43710
BRI1,mRNA,BRI1
CB5-B,mRNA,CB5-B
CBR,mRNA,CBR
CCP1,mRNA,CCP1
CDPK19,mRNA,CDPK19
CKS,mRNA,CKS
CM3,mRNA,CM3
CRR28,mRNA,CRR28
CRT3,mRNA,CRT3
CYCA1;1,mRNA,CYCA1;1
Cpn60beta2,mRNA,Cpn60beta2
Cpn60beta3,mRNA,Cpn60beta3
DGK1,mRNA,DGK1
DiT1,mRNA,DiT1
ECHIA,mRNA,ECHIA
EDA9,mRNA,EDA9
EIF3E,mRNA,EIF3E
EMB1144,mRNA,EMB1144
ETG1,mRNA,ETG1
FAB1C,mRNA,FAB1C
FER,mRNA,FER
FER4,mRNA,FER4
FIB,mRNA,FIB
