source,target,link
4CL3,TT7,m2m
4CL3,FLS1,m2m
AGL21,DCL2,m2m
AGL21,CRK25,m2m
AIM1,PHYLLO,m2m
AIM1,HMGS,m2m
AIM1,AT4G25310,m2m
ALDH3F1,AT4G08960,m2m
ALDH3F1,HMGS,m2m
ALDH3F1,AT5G16880,m2m
ARF6,AT1G63100,m2m
AT1G04880,TDP1,m2m
AT1G04880,SPT16,m2m
AT1G04880,SNL4,m2m
AT1G11050,SUS4,m2m
AT1G11050,CPK32,m2m
AT1G11050,AT1G57770,m2m
AT1G22170,LOX1,m2m
AT1G22170,GH3,m2m
AT1G22170,AT5G57170,m2m
AT1G22170,At1g07940,m2m
AT1G22170,FBA6,m2m
AT1G22170,FBA8,m2m
AT1G22730,SKB1,m2m
AT1G22730,AT4G16660,m2m
AT1G22730,EIN2,m2m
AT1G24530,AT2G46290,m2m
AT1G26665,NRB4,m2m
AT1G30960,RRP4,m2m
AT1G30960,NSN1,m2m
AT1G30960,DCL2,m2m
AT1G30960,EMB2001,m2m
AT1G34300,U2A,m2m
AT1G57770,PSB27,m2m
AT1G57770,FUG1,m2m
AT1G57770,Lhca5,m2m
AT1G57770,AT2G43560,m2m
AT1G57770,AT1G77090,m2m
AT1G57770,CRD1,m2m
AT1G60420,GRXS17,m2m
AT1G63100,AT5G60930,m2m
AT1G66260,CPSF160,m2m
AT1G67930,AT4G10050,m2m
AT1G67930,AT4G02030,m2m
AT1G77090,PSB27,m2m
AT1G77090,FUG1,m2m
AT1G77090,Lhca5,m2m
AT1G77090,AT2G43560,m2m
AT1G77090,CRD1,m2m
AT2G20560,SR45a,m2m
AT2G20560,CYP89A5,m2m
AT2G20560,AT4G16660,m2m
AT2G21630,SGR2,m2m
AT2G21630,AT4G30600,m2m
AT2G21630,AT4G16660,m2m
AT2G37990,RRP4,m2m
AT2G37990,TOR,m2m
AT2G37990,AT5G60670,m2m
AT2G37990,AT2G43560,m2m
AT2G37990,AT5G59240,m2m
AT2G37990,NSN1,m2m
AT2G42780,CUL3,m2m
AT2G42780,AT5G60670,m2m
AT2G43560,PSB27,m2m
AT2G43560,FUG1,m2m
AT2G43560,Lhca5,m2m
AT2G43560,VAR2,m2m
AT2G43560,CRD1,m2m
AT2G43560,SKB1,m2m
AT2G43560,NSN1,m2m
AT2G46290,AT5G60670,m2m
AT2G46290,AT5G59240,m2m
AT3G24530,CRT3,m2m
AT3G24530,CUL3,m2m
AT3G24530,TOR,m2m
AT3G24530,UBP6,m2m
