id,type,label
4CL3,mRNA,4CL3
AGL21,mRNA,AGL21
AIM1,mRNA,AIM1
ALDH3F1,mRNA,ALDH3F1
ARF6,mRNA,ARF6
AT1G04880,mRNA,AT1G04880
AT1G11050,mRNA,AT1G11050
AT1G22170,mRNA,AT1G22170
AT1G22730,mRNA,AT1G22730
AT1G24530,mRNA,AT1G24530
AT1G26665,mRNA,AT1G26665
AT1G30960,mRNA,AT1G30960
AT1G34300,mRNA,AT1G34300
AT1G57770,mRNA,AT1G57770
AT1G60420,mRNA,AT1G60420
AT1G63100,mRNA,AT1G63100
AT1G66260,mRNA,AT1G66260
AT1G67930,mRNA,AT1G67930
AT1G77090,mRNA,AT1G77090
AT2G20560,mRNA,AT2G20560
AT2G21630,mRNA,AT2G21630
AT2G37990,mRNA,AT2G37990
AT2G42780,mRNA,AT2G42780
AT2G43560,mRNA,AT2G43560
AT2G46290,mRNA,AT2G46290
AT3G24530,mRNA,AT3G24530
AT3G28715,mRNA,AT3G28715
AT3G54130,mRNA,AT3G54130
AT4G02030,mRNA,AT4G02030
AT4G08960,mRNA,AT4G08960
AT4G10050,mRNA,AT4G10050
AT4G16660,mRNA,AT4G16660
AT4G27280,mRNA,AT4G27280
AT4G30600,mRNA,AT4G30600
AT4G38070,mRNA,AT4G38070
AT5G02370,mRNA,AT5G02370
AT5G57170,mRNA,AT5G57170
AT5G59240,mRNA,AT5G59240
AT5G60670,mRNA,AT5G60670
AT5G60930,mRNA,AT5G60930
AT5G60980,mRNA,AT5G60980
ATCRT1,mRNA,ATCRT1
ATSMC2,mRNA,ATSMC2
ATXRCC1,mRNA,ATXRCC1
At1g07940,mRNA,At1g07940
B120,mRNA,B120
BOR1,mRNA,BOR1
BZO2H3,mRNA,BZO2H3
CAT7,mRNA,CAT7
CB5-A,mRNA,CB5-A
CDPK19,mRNA,CDPK19
CIPK10,mRNA,CIPK10
CPK32,mRNA,CPK32
CPL4,mRNA,CPL4
CPSF160,mRNA,CPSF160
CRD1,mRNA,CRD1
CTEXP,mRNA,CTEXP
CUL3,mRNA,CUL3
DRP3A,mRNA,DRP3A
EGY1,mRNA,EGY1
EIN2,mRNA,EIN2
ERH3,mRNA,ERH3
FATB,mRNA,FATB
FBA6,mRNA,FBA6
FBA8,mRNA,FBA8
FLS1,mRNA,FLS1
FRA1,mRNA,FRA1
FUG1,mRNA,FUG1
GB2,mRNA,GB2
GH3.9,mRNA,GH3.9
GPA1,mRNA,GPA1
HEMA1,mRNA,HEMA1
HMGB2,mRNA,HMGB2
HMGS,mRNA,HMGS
HUB1,mRNA,HUB1
KAK,mRNA,KAK
LOX1,mRNA,LOX1
Lhca5,mRNA,Lhca5
MENG,mRNA,MENG
MIM,mRNA,MIM
PHYC,mRNA,PHYC
PLC4,mRNA,PLC4
RABB1C,mRNA,RABB1C
RHD3,mRNA,RHD3
RPT2a,mRNA,RPT2a
RRC1,mRNA,RRC1
SKB1,mRNA,SKB1
SNX1,mRNA,SNX1
SPT16,mRNA,SPT16
SR45a,mRNA,SR45a
SUA,mRNA,SUA
SUS4,mRNA,SUS4
TDP1,mRNA,TDP1
TOR,mRNA,TOR
UBP3,mRNA,UBP3
novel_circ_0001194,novel_circ_0001194,novel_circ_0001194
Ghi-miRN1420,Ghi-miRN1420,Ghi-miRN1420
TT7,mRNA,TT7
DCL2,mRNA,DCL2
CRK25,mRNA,CRK25
PHYLLO,mRNA,PHYLLO
AT4G25310,mRNA,AT4G25310
AT5G16880,mRNA,AT5G16880
SNL4,mRNA,SNL4
NRB4,mRNA,NRB4
RRP4,mRNA,RRP4
NSN1,mRNA,NSN1
EMB2001,mRNA,EMB2001
U2A,mRNA,U2A
PSB27,mRNA,PSB27
GRXS17,mRNA,GRXS17
CYP89A5,mRNA,CYP89A5
SGR2,mRNA,SGR2
VAR2,mRNA,VAR2
CRT3,mRNA,CRT3
UBP6,mRNA,UBP6
TUB8,mRNA,TUB8
AVP1,mRNA,AVP1
CYP707A3,mRNA,CYP707A3
TOP3A,mRNA,TOP3A
KP1,mRNA,KP1
HHP2,mRNA,HHP2
MAP65-5,mRNA,MAP65-5
PUB17,mRNA,PUB17
CPK7,mRNA,CPK7
VPS34,mRNA,VPS34
SDP1,mRNA,SDP1
WAKL1,mRNA,WAKL1
GUS3,mRNA,GUS3
TED4,mRNA,TED4
SRG1,mRNA,SRG1
TPS1,mRNA,TPS1
UGE5,mRNA,UGE5
AT3G15970,mRNA,AT3G15970
AT1G17665,mRNA,AT1G17665
MDAR6,mRNA,MDAR6
scpl44,mRNA,scpl44
KUP1,mRNA,KUP1
NAC036,mRNA,NAC036
AT4G39955,mRNA,AT4G39955
AT5G48740,mRNA,AT5G48740
AT3G47180,mRNA,AT3G47180
RKF2,mRNA,RKF2
AT1G10640,mRNA,AT1G10640
AT3G47090,mRNA,AT3G47090
AT2G42690,mRNA,AT2G42690
AT4G01210,mRNA,AT4G01210
BCAT-2,mRNA,BCAT-2
CAM7,mRNA,CAM7
AT1G06750,mRNA,AT1G06750
AT4G29090,mRNA,AT4G29090
MAP70-4,mRNA,MAP70-4
AT3G03080,mRNA,AT3G03080
AT2G25320,mRNA,AT2G25320
AT5G42770,mRNA,AT5G42770
MAPKKK13,mRNA,MAPKKK13
MAPKKK14,mRNA,MAPKKK14
PHO1,mRNA,PHO1
AT2G24130,mRNA,AT2G24130
AT1G53760,mRNA,AT1G53760
BGAL3,mRNA,BGAL3
AT1G54310,mRNA,AT1G54310
NADK1,mRNA,NADK1
AT1G76270,mRNA,AT1G76270
ARI2,mRNA,ARI2
PEP,mRNA,PEP
AT1G60680,mRNA,AT1G60680
GRF11,mRNA,GRF11
AT4G08850,mRNA,AT4G08850
AT2G33420,mRNA,AT2G33420
AT4G27680,mRNA,AT4G27680
ASE1,mRNA,ASE1
AT2G01070,mRNA,AT2G01070
PMR5,mRNA,PMR5
AT1G30440,mRNA,AT1G30440
AT2G41790,mRNA,AT2G41790
AT4G02630,mRNA,AT4G02630
AT1G06890,mRNA,AT1G06890
AT5G06740,mRNA,AT5G06740
IQD6,mRNA,IQD6
FRS10,mRNA,FRS10
AT1G64260,mRNA,AT1G64260
AT2G23520,mRNA,AT2G23520
ORF158,mRNA,ORF158
AT1G75640,mRNA,AT1G75640
At5g64813,mRNA,At5g64813
CYP722A1,mRNA,CYP722A1
FOLT1,mRNA,FOLT1
GAUT13,mRNA,GAUT13
SD2-5,mRNA,SD2-5
PIP1C,mRNA,PIP1C
DEG14,mRNA,DEG14
AT5G54860,mRNA,AT5G54860
AT5G19130,mRNA,AT5G19130
KDTA,mRNA,KDTA
YAB5,mRNA,YAB5
AT2G19130,mRNA,AT2G19130
AT5G09430,mRNA,AT5G09430
BSK5,mRNA,BSK5
WAKL2,mRNA,WAKL2
MUM2,mRNA,MUM2
emb2735,mRNA,emb2735
AT1G78060,mRNA,AT1G78060
AT3G01490,mRNA,AT3G01490
AT1G57700,mRNA,AT1G57700
AT1G12460,mRNA,AT1G12460
PKDM7D,mRNA,PKDM7D
UNE2,mRNA,UNE2
AIR3,mRNA,AIR3
CYP71B34,mRNA,CYP71B34
AT3G26935,mRNA,AT3G26935
AT5G01710,mRNA,AT5G01710
AT3G12180,mRNA,AT3G12180
