source,target,link
AAE11,ANT1,m2m
AAE16,PEX11C,m2m
AAE16,AT1G16700,m2m
AAE18,DIN9,m2m
AAE18,AT5G42740,m2m
AAE18,EMB3147,m2m
AAE18,AT3G23940,m2m
AAE18,DUR3,m2m
AAE18,IBR1,m2m
ABCB1,GN,m2m
ABCB1,AT1G21070,m2m
ABCB1,AT2G36350,m2m
ABCB1,TIR1,m2m
ABCG3,AT5G58300,m2m
ABF2,OZS1,m2m
ABF2,MYC2,m2m
ABF2,CSP3,m2m
ABF2,ERD1,m2m
ABF2,PP2CA,m2m
ABF2,KIN10,m2m
ACA10,ECA4,m2m
ACA10,ARF3,m2m
ACS,EMB3003,m2m
ACS,DIN9,m2m
ACS,ALDH6B2,m2m
ACS,EMB3147,m2m
ACS,CAC3,m2m
ACS,HB2,m2m
ACS,AT3G13930,m2m
ACS,AT3G23940,m2m
ACS,AT5G42740,m2m
ACS,DUR3,m2m
ADF4,TUA2,m2m
ADF4,ARP6,m2m
ADF4,FIM5,m2m
AER,AT1G15140,m2m
AER,CXE16,m2m
AFC2,SRPK4,m2m
AFC2,NRPC1,m2m
AKT1,HAI2,m2m
AKT1,NRT2:1,m2m
AKT1,OZS1,m2m
AKT1,AT1G60160,m2m
AKT1,PP2CA,m2m
AL4,CDC5,m2m
AL4,B120,m2m
AL4,SDG29,m2m
ALA1,AT1G33170,m2m
ALA1,KDTA,m2m
ALA1,PDR2,m2m
ALDH6B2,THA1,m2m
ALDH6B2,AlaAT1,m2m
ALDH6B2,GAMMACA1,m2m
ALDH6B2,EMB3003,m2m
ALDH6B2,LOS1,m2m
ALDH6B2,AT2G46520,m2m
ALDH6B2,AT5G09300,m2m
ALDH6B2,AT3G13930,m2m
ALDH6B2,CAC3,m2m
APL2,mtACP2,m2m
APL2,DIN9,m2m
APL2,AT5G42740,m2m
APL2,SPS1F,m2m
APL2,SUS3,m2m
APP1,CPR,m2m
APP1,AT4G35160,m2m
APP1,AT5G42740,m2m
APS1,UGT74B1,m2m
APS1,IMD2,m2m
APS1,CBL,m2m
APS1,FNR1,m2m
APS1,APS3,m2m
APS3,AST56,m2m
APS3,CBL,m2m
APS3,FNR1,m2m
ARF10,MP,m2m
ARF10,At1g59750,m2m
ARF10,ARF3,m2m
ARF10,LAC5,m2m
