id,type,label
AAE11,mRNA,AAE11
AAE16,mRNA,AAE16
AAE18,mRNA,AAE18
ABCB1,mRNA,ABCB1
ABCG3,mRNA,ABCG3
ABF2,mRNA,ABF2
ACA10,mRNA,ACA10
ACS,mRNA,ACS
ADF4,mRNA,ADF4
AER,mRNA,AER
AFC2,mRNA,AFC2
AKT1,mRNA,AKT1
AL4,mRNA,AL4
ALA1,mRNA,ALA1
ALDH6B2,mRNA,ALDH6B2
APL2,mRNA,APL2
APP1,mRNA,APP1
APS1,mRNA,APS1
APS3,mRNA,APS3
ARF10,mRNA,ARF10
ARF3,mRNA,ARF3
ARP6,mRNA,ARP6
ASG5,mRNA,ASG5
AT1G01390,mRNA,AT1G01390
AT1G05520,mRNA,AT1G05520
AT1G08110,mRNA,AT1G08110
AT1G09750,mRNA,AT1G09750
AT1G12000,mRNA,AT1G12000
AT1G12470,mRNA,AT1G12470
AT1G15140,mRNA,AT1G15140
AT1G16560,mRNA,AT1G16560
AT1G16700,mRNA,AT1G16700
AT1G21070,mRNA,AT1G21070
AT1G22410,mRNA,AT1G22410
AT1G22870,mRNA,AT1G22870
AT1G24510,mRNA,AT1G24510
AT1G24530,mRNA,AT1G24530
AT1G33170,mRNA,AT1G33170
AT1G34300,mRNA,AT1G34300
AT1G43690,mRNA,AT1G43690
AT1G45545,mRNA,AT1G45545
AT1G48090,mRNA,AT1G48090
AT1G49210,mRNA,AT1G49210
AT1G53050,mRNA,AT1G53050
AT1G61180,mRNA,AT1G61180
AT1G61700,mRNA,AT1G61700
AT1G62020,mRNA,AT1G62020
AT1G65920,mRNA,AT1G65920
AT1G66510,mRNA,AT1G66510
AT1G68040,mRNA,AT1G68040
AT1G70500,mRNA,AT1G70500
AT1G72090,mRNA,AT1G72090
AT1G72660,mRNA,AT1G72660
AT1G73460,mRNA,AT1G73460
AT1G76010,mRNA,AT1G76010
AT1G77550,mRNA,AT1G77550
AT2G21630,mRNA,AT2G21630
AT2G22420,mRNA,AT2G22420
AT2G24990,mRNA,AT2G24990
AT2G25320,mRNA,AT2G25320
AT2G27730,mRNA,AT2G27730
